analysis,value,gold,mustpass,source,page
зы<num><h>,1,заджвы,pass,Tabulova,81
зы<num><n>,1,закӏы,pass,Tabulova,84
гӏвы<num><h>,2,гӏвыджь,pass,Tabulova,85
гӏвы<num><n>,2,гӏвба,pass,Tabulova,81
хы<num><h>,3,хгӏвы,pass,Tabulova,85
хы<num><n>,3,хпа,pass,Tabulova,84
пщы<num><h>,4,пщгӏвы,,Tabulova,81
пщы<num><n>,4,пщба,pass,Tabulova,81
хвы<num><h>,5,хвгӏвы,pass,Genko,178
хвы<num><n>,5,хвба,pass,Tabulova,84
цы<num><h>,6,цгӏвы,pass,Genko,178
цы<num><n>,6,цба,pass,Tabulova,84
быжь<num><h>,7,быжьгӏвы,pass,Tabulova,85
быжь<num><n>,7,быжьба,pass,Tabulova,84
быжь<num><h>,7,быжьгӏвы,pass,Tabulova,85
быжь<num><n>,7,быжьба,pass,Tabulova,84
агӏы<num><n>,8,агӏба,pass,Tabulova,84
жвы<num><h>,9,жвгӏвы,pass,Tabulova,85
жвы<num><n>,9,жвба,pass,Tabulova,84
жва<num><n>,10,жваба,,Tabulova,84
жва<num><h>,10,жвагӏвы,pass,Genko,178
жва<num><link>гӏвы<num>,12,жвыгӏв,pass,Tabulova,82
жва<num><link>быжь<num>,17,жвибыжь,pass,Tugov,497
жва<num><link>быжь<num>,17,жвибыжь,pass,Tugov,497
жва<num><link>агӏы<num>,18,жвагӏ,pass,Tugov,497
гӏважва<num>,20,гӏважва,pass,Tabulova,82
гӏвы<num><iter>гӏважва<num>,40,гӏвынгӏважва,pass,Tabulova,82
хы<num><iter>гӏважва<num>,60,хынгӏважва,pass,Tabulova,82
пщы<num><iter>гӏважва<num>,80,пщынгӏважва,pass,Tabulova,82
швы<num><h>,100,швгӏвы,pass,Tabulova,81
швы<num><n>,100,швкӏы,pass,Tabulova,81
гӏвы<num>швы<num>,200,гӏвышв,pass,Tabulova,82
гӏвы<num>швы<num>,200,гӏвышв,pass,Tabulova,82
хы<num>швы<num>,300,хышв,pass,Tabulova,82
хы<num>швы<num>,300,хышв,pass,Tabulova,82
пщы<num>швы<num>,400,пщышв,pass,Tabulova,82
пщы<num>швы<num>,400,пщышв,pass,Tabulova,82
хвы<num>швы<num>,500,хвышв,pass,Tabulova,82
хвы<num>швы<num>,500,хвышв,pass,Tabulova,82
цы<num>швы<num>,600,цышв,pass,Tabulova,82
цы<num>швы<num>,600,цышв,pass,Tabulova,82
быжь<num>швы<num>,700,быжьшвы,pass,Tabulova,82
быжь<num>швы<num>,700,быжьшвы,pass,Tabulova,82
агӏы<num>швы<num>,800,агӏшвы,pass,Tabulova,82
жвы<num>швы<num>,900,жвшвы,pass,Tabulova,82
жвы<num>швы<num>,900,жвшвы,pass,Tabulova,82
зыкь<num>,1000,зкьы,pass,Tabulova,83
гӏвы<num><iter>зыкь<num>,2000,гӏванзыкь,ignore,~Tabulova,88
гӏвы<num><iter>зыкь<num>,2000,гӏванзыкь,ignore,~Genko,180
гӏвы<num><iter>зыкь<num>,2000,гӏвынзыкь,pass,Tabulova,82
хы<num><iter>зыкь<num>,3000,хынзыкь,pass,~Tabulova,89
пщы<num><iter>зыкь<num>,4000,пщынзыкь,pass,~Genko,180
хвы<num><iter>зыкь<num>,5000,хвынзыкь,pass,~Genko,180
быжь<num><iter>зыкь<num>,7000,бжьынзыкь,pass,~garik,
быжь<num><iter>зыкь<num>,7000,бжьынзыкь,pass,~garik,
цы<num><iter>зыкь<num>,7000,цынзыкь,pass,~Genko,180
